[15/May/2024:08:12:12 +0000] 192.168.65.1 02c5c07d11bad6bef93dbdaefa82e5e8 GET /wp-includes/js/dist/dom-ready.min.js?ver=392bdd43726760d1f3ca HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 bf7ac1e9555ef70e72472f25f0c75918 GET /wp-includes/js/dist/a11y.min.js?ver=7032343a947cfccf5608 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 f24bd57b4c81a50de4c7cb76769b69d6 GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 0640550f7e47a93c915728646a69d727 GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks&ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 81afdd146892cf640e7376409ba8e5fc GET /wp-includes/js/wp-ajax-response.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 45abe23412505cbc53ba12305c666f3a GET /wp-admin/js/site-health.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 a273a42f44fa3888c67c9a86fff274e3 GET /wp-includes/js/dist/url.min.js?ver=b4979979018b684be209 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 94d438bd620acf2875569ec3aec48a05 GET /wp-includes/js/jquery/jquery.color.min.js?ver=2.2.0 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 5dab3de06bbc5401e9c9f7b918b1074a GET /wp-includes/js/wp-lists.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 63990a3879959a9d7736d796d88e2fbf GET /wp-includes/js/jquery/jquery.query.js?ver=2.2.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 1f9cde8b60d2ca06b575262b962bbb58 GET /wp-admin/js/edit-comments.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 836104ca0e34e31e3fc80a77e9b5f726 GET /wp-includes/js/jquery/ui/core.min.js?ver=1.13.2 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 68e7dafc91b3393ae731a933f81b7611 GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.2 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 f925b1613a5d0dc3b9566b7f8770ad29 GET /wp-includes/js/quicktags.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 4ab203b591fde71427361ea0862bf874 GET /wp-admin/js/postbox.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 42635dcdfcf3cb6769abc847134a89ea GET /wp-includes/js/dist/deprecated.min.js?ver=73ad3591e7bc95f4777a HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 5a85886fe340c19ca490803b6c8c6d4a GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.13.2 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 81be69bc3320fc5750d19394e57acf0f GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 3c73f0660f7550a851aa3107bca0a1c6 GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 20ae13886fe215fa57d19b9dfe6c0675 GET /wp-admin/js/plugin-install.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 36cb7941270e59fdbbef4353fb4765dc GET /wp-includes/js/wp-sanitize.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 6b04c68aa06a1b680e3e12d41aa32f4b GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 4ce8c23ee976eb566fdc6512dc5b2e6d GET /wp-admin/js/dashboard.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 9c5267f9400835635e30c9919d1941ae GET /wp-includes/js/dist/date.min.js?ver=936c461ad5dce9c2c8ea HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 3b2ded9caed44be6006e64a4b3d7de8f GET /wp-admin/js/updates.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 abbddbfb4b398f3d872c9d5183431faf GET /wp-includes/js/wp-auth-check.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 d4dae4d0f9193f2a9d05d0fa54a3ba52 GET /wp-includes/js/wplink.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 dd5e2e634109e8c7741f51f952e9bc53 GET /wp-admin/js/media-upload.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 5a3e7859255595cdc31031fd2c0d3c18 GET /wp-admin/js/svg-painter.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 6f32fffe5795ffdf3d12bba7cc45f182 GET /wp-includes/js/heartbeat.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 344acc1c4c95027a98b2f5ed2341266d GET /wp-includes/js/shortcode.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 b2d86ef5c205916d2705b1d83533d212 GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.2 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 b3f2b36808e761100b3a884841f74dbf GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.2 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 b17093583c3a50ffe458c9a9e9690f9f GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=01fea0657e&1715760732500 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 5908819c28698cac068e9b60ffe1f2f0 GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 b91dee2bc1615aab544d8c96be2e68ad GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=no&_ajax_nonce=01fea0657e&1715760732572 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 2351278267a7e39c6f5b204ea021d1f7 GET /favicon.ico HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 9ceb66c9814d9852e3b66980e349fe92 POST /wp-admin/admin-ajax.php HTTP/1.1
